time,"[PCM] A/C Pressure (kPa)","[PCM] Actual Electronic Throttle Control (°)","[PCM] Actual Turbine Shaft Speed (rpm)","[PCM] ATF Temperature (℃)","[PCM] Commanded Gear ()","[PCM] Commanded Gear Ratio ()","[PCM] Currently Detected Engine Misfire ()","[PCM] Cylinder 1 Acceleration Value ()","[PCM] Cylinder 2 Acceleration Value ()","[PCM] Cylinder 3 Acceleration Value ()","[PCM] Cylinder 4 Acceleration Value ()","[PCM] Cylinder 5 Acceleration Value ()","[PCM] Cylinder 6 Acceleration Value ()","[PCM] Cylinder head temperature (℃)","[PCM] Desired Electronic Throttle Control (°)","[PCM] Fuel level (%)","[PCM] Knock Sensor 1 ()","[PCM] Knock Sensor 2 ()","[PCM] Measured Gear Ratio ()","Absolute load value (%)","Absolute pedal position D (%)","Absolute pedal position E (%)","Absolute throttle position B (%)","Altitude (GPS) (m)","Ambient air temperature (℃)","Average fuel consumption (total) (L/100km)","Average fuel consumption (Week) (L/100km)","Average speed (km/h)","Average speed (GPS) (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated engine load value (%)","Calculated instant fuel rate (L/h)","Catalyst temperature Bank 1 Sensor 1 (℃)","Catalyst temperature Bank 2 Sensor 1 (℃)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Evap. system vapor pressure (Pa)","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price ($)","Fuel used price (Today) ($)","Fuel used price (total) ($)","Fuel used price (Week) ($)","Fuel/Air commanded equivalence ratio ()","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Long term fuel % trim - Bank 1 (%)","Long term fuel % trim - Bank 2 (%)","MAF air flow rate (g/sec)","OBD Module Voltage (V)","Oxygen sensor 1 Wide Range Current (mA) (mA)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 2 Bank 1 Voltage (V)","Oxygen sensor 2 Bank 2 Voltage (V)","Oxygen sensor 5 Wide Range Current (mA) (mA)","Oxygen sensor 5 Wide Range Equivalence ratio ()","Power from MAF (hp)","Short term fuel % trim - Bank 1 (%)","Short term fuel % trim - Bank 2 (%)","Speed (GPS) (km/h)","Throttle position (%)","Timing advance (°)","Vehicle acceleration (g)","Vehicle speed (km/h)",Latitude,Longtitude,
15:50:01.162,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.9639991760254,,,,,20.2872839,38.2549101,
15:50:03.859,,,,,,,,,,,,,,,,,,,,,,,,2967.064697265625,,,,,72.36000137329101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.36000137329101,,,,,20.2876696,38.255326,
15:50:04.852,,,,,,,,,,,,,,,,,,,,,,,,2968.04052734375,,,,,72.02094002030691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.10000000000001,,,,,20.2877901,38.2554607,
15:50:05.849,,,,,,,,,,,,,,,,,,,,,,,,2968.607666015625,,,,,72.0164845076386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,20.2879159,38.2555992,
15:50:06.856,,,,,,,,,,,,,,,,,,,,,,,,2969.30078125,,,,,72.07090796313707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.32400054931641,,,,,20.2880459,38.2557327,
15:50:07.847,,,,,,,,,,,,,,,,,,,,,,,,2969.689453125,,,,,72.06573231559017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.03600082397462,,,,,20.2881758,38.2558637,
15:50:08.851,,,,,,,,,,,,,,,,,,,,,,,,2969.596435546875,,,,,72.06655057860364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.07200164794922,,,,,20.2883028,38.2560028,
15:50:09.847,,,,,,,,,,,,,,,,,,,,,,,,2969.301025390625,,,,,72.05891673127951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,20.288434,38.2561399,
15:50:10.862,,,,,,,,,,,,,,,,,,,,,,,,2968.879638671875,,,,,71.96987819324106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.20800247192383,,,,,20.2885572,38.2562712,
15:50:13.846,,,,,,,,,,,,,,,,,,,,,,,,2969.525390625,,,,,71.96002323198802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.92799835205078,,,,,20.2889323,38.2566747,
15:50:14.864,,,,,,,,,,,,,,,,,,,,,,,,2970.321044921875,,,,,71.96566671747367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.03600082397462,,,,,20.2890605,38.2568097,
15:50:15.853,,,,,,,,,,,,,,,,,,,,,,,,2970.360107421875,,,,,71.96797782201213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,20.2891872,38.2569446,
