obs_id,session_date,phone_clock,gear,load,thermal,observation,category,epoch,source
P1O-0001,2026-09-02,unknown,unknown,idle,unknown,"The truck has never been smooth in the owner's entire ownership - the vibration is a characteristic, not a change that appeared on a date.",history,pre_purge_valve,[36]
P1O-0002,2026-09-02,unknown,unknown,idle,unknown,The shake is identical cold and hot - temperature independent. Assistant used this to rule out closed-loop-only mixture faults and warm-up enrichment.,symptom,pre_purge_valve,[8];[9];[24]
P1O-0003,2026-09-02,unknown,P,idle,warm,No change in the shake or in idle rpm with the A/C switched on.,symptom,pre_purge_valve,[8];[9]
P1O-0004,2026-09-02,unknown,P,idle,warm,"The shake reproduces standing still in Park - no road speed, no driveline motion needed.",symptom,pre_purge_valve,[8]
P1O-0005,2026-09-02,unknown,P,idle,unknown,"The tachometer needle visibly wanders/moves at a held throttle. Assistant treated this as decisive against pure mechanical imbalance, since nothing rotating moves a tach needle.",symptom,pre_purge_valve,[9]
P1O-0006,2026-09-02,unknown,P,rpm_sweep,unknown,"The shake is equal at every rpm when swept in Park. Assistant later reframed this in [10]: the whole sweep was at zero load, so it showed rpm-independence only, not load-independence.",symptom,pre_purge_valve,[9];[10]
P1O-0007,2026-09-02,unknown,unknown,idle,unknown,"Idle rpm is normal - no sag, nothing stalls or nearly stalls.",symptom,pre_purge_valve,[9];[36]
P1O-0008,2026-09-02,unknown,unknown,unknown,unknown,"The vibration was present before any of the repair work was done, so nothing that has been replaced can be its cause.",history,pre_purge_valve,[9];[19]
P1O-0009,2026-09-02,unknown,P,idle,warm,"Load curve as the owner reports it: worst in Park/Neutral at standstill, less in Drive/Reverse at standstill, completely absent driving under load.",symptom,pre_purge_valve,[10]
P1O-0010,2026-09-02,unknown,driving,cruise,warm,The truck pulls great under load with zero vibration - flawless once the throttle is open.,symptom,pre_purge_valve,[10]
P1O-0011,2026-09-02,unknown,D,idle,unknown,"Second-hand from the owner's brother: it also shakes in D and R, but 'in a different pattern'. Owner flagged it as felt once or twice; assistant declined to re-theorise on it and left the pattern question open.",symptom,pre_purge_valve,[11];[13]
P1O-0012,2026-09-02,unknown,D,idle,unknown,"D and R feel the same as each other. Assistant treats this as the better mount test - engine torque reacts in opposite directions in D and R, so a collapsed mount or torque-reaction contact would differ between them.",symptom,pre_purge_valve,[13]
P1O-0013,2026-09-02,unknown,D,idle,unknown,"The needle wanders in gear too, not only in Park.",symptom,pre_purge_valve,[13]
P1O-0014,2026-09-02,unknown,unknown,idle,unknown,"Repo-carried claim referenced by the assistant: a separate 1,000-2,000 rpm instability. Not confirmed by the owner anywhere in this part of the conversation; assistant suggested 6R80 torque converter shudder as a separate matter.",symptom,pre_purge_valve,[5]
P1O-0015,2026-09-02,unknown,P,idle,warm,KEY CORRECTION FROM THE OWNER: 'in my case the engine doesn't shake like it wants to switch off - it's a shake that I just feel its vibration and see the rpm move. If you listen from the hood it's very difficult to know if the car has a problem.' This reframed the whole diagnosis and prompted the assistant to raise 'you may not have a fault at all'.,symptom,pre_purge_valve,[35]
P1O-0016,2026-09-02,unknown,unknown,idle,unknown,From under the hood a trained ear cannot tell the engine has a problem - the idle is not audibly lumpy or loping.,symptom,pre_purge_valve,[35];[36]
P1O-0017,2026-09-02,unknown,n/a,n/a,n/a,"Factory airbox and duct, no oiled aftermarket filter - MAF calibration is as Ford intended.",vehicle_fact,pre_purge_valve,[18];[19]
P1O-0018,2026-09-02,unknown,n/a,n/a,n/a,"The intake manifold was removed and refitted during the injector clean, with exactly zero change to the symptom.",history,pre_purge_valve,[18];[19]
P1O-0019,2026-09-02,unknown,n/a,n/a,n/a,The EGR (later found not to exist on this engine) and the PCV have never been looked at in twelve years.,history,pre_purge_valve,[18];[19]
P1O-0020,2026-09-02,unknown,n/a,n/a,n/a,Always 95 octane from the same station; symptom utterly constant.,vehicle_fact,pre_purge_valve,[19]
P1O-0021,2026-09-02,unknown,n/a,n/a,n/a,"No aftermarket PCM tune, no tuner ever used, no evidence of prior engine work.",vehicle_fact,pre_purge_valve,[19]
P1O-0022,2026-09-02,unknown,n/a,n/a,n/a,"An idle relearn was performed and 300 km driven since, so adaptive memory is mature.",history,pre_purge_valve,[19]
P1O-0023,2026-09-02,unknown,n/a,n/a,n/a,"No dealer service record at all for approximately the last 76,500 km.",history,pre_purge_valve,[22]
P1O-0024,2026-09-02,unknown,unknown,idle,warm,Thermostat reaches temperature and holds it.,vehicle_fact,pre_purge_valve,[24]
P1O-0025,2026-09-02,unknown,n/a,n/a,n/a,Engine currently running 5W-30 where the spec is 5W-20.,vehicle_fact,pre_purge_valve,[24]
P1O-0026,2026-09-02,unknown,n/a,n/a,n/a,Coolant level steady - has never lost coolant with no visible leak.,vehicle_fact,pre_purge_valve,[24]
P1O-0027,2026-09-02,unknown,n/a,n/a,n/a,"OWNER CORRECTION OF METHOD: 'you didn't ask all questions, you have a list like throttle body' - the assistant had been filling maintenance answers from repo notes and assumptions instead of asking.",method_correction,pre_purge_valve,[25];[26]
P1O-0028,2026-09-02,unknown,n/a,n/a,n/a,OWNER CORRECTION OF FACT: the throttle body HAS been cleaned. CLAUDE.md stated it had never been cleaned and called it the top unexplored lead - a factual error at the top of the notes steering the diagnosis.,method_correction,pre_purge_valve,[27]
P1O-0029,2026-09-02,unknown,n/a,n/a,n/a,"Throttle body was removed from the engine and hand-cleaned, followed by a 250 km drive-cycle relearn. No change at all to the symptom.",history,pre_purge_valve,[27];[28]
P1O-0030,2026-09-02,unknown,n/a,n/a,n/a,"Injectors were removed, cleaned and flow-tested. No change to the symptom.",history,pre_purge_valve,[27];[28]
P1O-0031,2026-09-02,unknown,n/a,n/a,n/a,The EVAP purge valve has never been touched or inspected.,history,pre_purge_valve,[27];[28]
P1O-0032,2026-09-02,unknown,n/a,n/a,n/a,The O2 sensors were 'cleaned' by an unknown method - nobody knows what was done to them.,history,pre_purge_valve,[28];[19]
P1O-0033,2026-09-03,10:02,n/a,n/a,n/a,"Owner relays a forum-derived test plan and asks whether to send it to the mechanic: disconnect the air/vacuum lines and plug their ports and test - the one going to the brake booster, the one going to the canister, and anything coming from the A/C - plus a smoke test for leaks in the air lines.",method_correction,pre_purge_valve,[43]
P1O-0034,2026-09-04,14:25,n/a,n/a,n/a,"CONSTRAINT SET BY OWNER: all tests are conducted in a safe environment by a professional, so procedures must not be watered down or bypassed for safety - if a test requires disconnecting the brake vacuum hose, it stays in.",constraint,pre_purge_valve,[50]
P1O-0035,2026-09-04,14:51,n/a,n/a,n/a,OWNER CORRECTION OF METHOD: the vacuum lines on this engine are hard plastic and cannot be clamped or pinched. The only way to isolate one is to disconnect the line and plug the inlet. This invalidated every clamp-based test the assistant had written.,method_correction,pre_purge_valve,[64];[65];[69]
P1O-0036,2026-09-04,14:51,n/a,n/a,n/a,"OWNER CORRECTION OF METHOD: you cannot disconnect a vacuum line with the engine running - it will stall. Every isolation test must be engine off, disconnect, plug the manifold port, then restart.",method_correction,pre_purge_valve,[64];[65];[69]
P1O-0037,2026-09-04,14:51,n/a,n/a,n/a,"OWNER VEHICLE FACT: there are three vacuum lines - PCV, purge and brake booster.",vehicle_fact,pre_purge_valve,[64]
