obs_id,session_date,phone_clock,gear,load,thermal,observation,category,epoch,source
P2O-0001,2026-09-04,unknown,n/a,n/a,unknown,"No airbag warning light is on, and the multi-module scan was complete (all modules read).",vehicle_fact,pre_purge_valve,[103]
P2O-0002,2026-09-04,unknown,unknown,unknown,unknown,"The scan app lets the owner open each parameter and see a live data graph, not just a number.",constraint,pre_purge_valve,[105]
P2O-0003,2026-09-04,unknown,unknown,idle,warm,The six rpm traces just sent were recorded with the A/C ON.,method_correction,pre_purge_valve,[111]
P2O-0004,2026-09-04,unknown,n/a,n/a,unknown,"The A/C cools properly, so the compressor is doing real work.",vehicle_fact,pre_purge_valve,[113]
P2O-0005,2026-09-04,unknown,unknown,idle,warm,The shake feels identical with the A/C on and off.,symptom,pre_purge_valve,[112];[114]
P2O-0006,2026-09-04,unknown,unknown,unknown,unknown,The graph data is not 15 minutes long - use the mobile clock at top left to measure time.,method_correction,pre_purge_valve,[115]
P2O-0007,2026-09-04,unknown,unknown,idle,warm,This set of traces was recorded with the A/C off.,vehicle_fact,pre_purge_valve,[115]
P2O-0008,2026-09-04,unknown,unknown,idle,warm,The tachometer needle can be seen to breathe - the oscillation is on a timescale of seconds.,symptom,pre_purge_valve,[117]
P2O-0009,2026-09-04,unknown,unknown,idle,warm,"Wants to do every test that can be done now while the engine is warm, and to be told what to share or test.",constraint,pre_purge_valve,[119]
P2O-0010,2026-09-04,unknown,unknown,unknown,unknown,Did not understand which sensors were wanted - asks for the exact names from the shared screenshot of all sensors.,constraint,pre_purge_valve,[121]
P2O-0011,2026-09-04,unknown,unknown,unknown,unknown,The app cannot show all four sensors at once; channels can only be navigated one by one.,constraint,pre_purge_valve,[123]
P2O-0012,2026-09-04,unknown,unknown,idle,warm,The graph gridlines ('laps') are 5 seconds apart; use the mobile clock to record readings.,method_correction,pre_purge_valve,[125]
P2O-0013,2026-09-04,unknown,unknown,idle,warm,"Asked whether the assistant had seen the purge value jump to 47 - it had not; the 47:15/47:20/47:25 figures were the mm:ss time axis, and the purge maximum was 40.78 on every graph.",method_correction,pre_purge_valve,[130];[131];[133]
P2O-0014,2026-09-04,unknown,unknown,unknown,unknown,"Do not use the app's Min/Max/Average fields - read the chart itself and analyse it deeply, never rely on the chart summary figures.",method_correction,pre_purge_valve,[135]
P2O-0015,2026-09-04,unknown,unknown,unknown,unknown,"Performed an idle relearn and drove 300 km BEFORE the battery wipe, and it did not solve the shake.",history,pre_purge_valve,[142]
P2O-0016,2026-09-04,unknown,unknown,unknown,unknown,"Does not want to stop - wants the issue found, and asks whether more screenshots are needed.",constraint,pre_purge_valve,[142]
P2O-0017,2026-09-04,unknown,unknown,unknown,unknown,Everything is important and should be documented - the assistant should not hold back on what to ask for.,constraint,pre_purge_valve,[147]
P2O-0018,2026-09-04,unknown,unknown,unknown,unknown,"Is out at the car diagnosing; when he sends one capture it does not mean he will not send the others, so everything related should be asked for in order.",constraint,pre_purge_valve,[150]
P2O-0019,2026-09-04,unknown,unknown,unknown,unknown,Anything that requires a multimeter should be saved for the next day.,constraint,pre_purge_valve,[162]
P2O-0020,2026-09-04,unknown,unknown,idle,warm,Wants to finish all the idle readings and tests before doing any cruising tests.,constraint,pre_purge_valve,[168]
P2O-0021,2026-09-04,unknown,unknown,unknown,unknown,"Phone battery is low (19 % at [167], 18 % at [169], 14 % at [171]) but the assistant should not rush - everything should still be done.",constraint,pre_purge_valve,[167];[169];[171];[172]
P2O-0022,2026-09-04,unknown,unknown,unknown,unknown,The scan app is not fixed to Engine RPM as the first channel - both graph channels can be chosen freely.,vehicle_fact,pre_purge_valve,[176]
P2O-0023,2026-09-04,unknown,unknown,unknown,unknown,The repo should always be updated as findings come in.,constraint,pre_purge_valve,[178]
