event_id,event_date,phone_clock,event,category,effect_on_data,source
P3E-001,2026-09-04,10:26-10:33,"Value-read session shared to capture exact scanner sensor labels; monitor block read showing Fuel System, Catalyst and Oxygen Sensor Not completed",measurement_milestone,"Cancelled the planned Mode 06 read - nothing stored to read until a drive completes those monitors. Also produced docs/scanner-pids.md and the standing rule to request channels by their exact app label",[183];[187];[190]
P3E-002,2026-09-04,unknown,"Rule established: read the phone clock on every screenshot and never set a reading from one session against a reading from another",measurement_milestone,"Invalidated the assistant's attempt to use the 10:26-10:33 value reads to contradict the 12:48-12:51 graphs",[185];[186];[187]
P3E-003,2026-09-04,01:00,"Long term fuel trims read as learned for the first time after 3:06:10 of run time (+3.13 B1 / +2.34 B2)",measurement_milestone,"Removed the 'probably un-relearned' caveat that had qualified every earlier trim number, and killed the bank-asymmetry theory",[192];[194]
P3E-004,2026-09-04,01:13,"Rule established: total fuel correction = short term + long term, so both halves of the same bank must be captured together",measurement_milestone,Made every single-trim reading in the project uninterpretable on its own,[196]
P3E-005,2026-09-04,unknown,"The 2000 rpm load test run for the first time (idle to 2000 to idle) with STFT B1 paired against LTFT - B2",measurement_milestone,"Produced the load-cell finding: +2.34 at idle, 0 at 2000, returning instantly to exactly 2.34 - read as a fixed vacuum leak",[198];[199]
P3E-006,2026-09-04,unknown,"The 2000 rpm test repeated with both banks' long term trim on one screen, held 2 min 7 s",measurement_milestone,"Confirmed both banks and revealed the correction is a gradient (idle +3.13/+2.34, just off idle +0.78, 2000 rpm 0) rather than a step",[201];[202]
P3E-007,2026-09-05,unknown,"EVAP purge valve replaced with a new one",repair,"The first repair in the owner's ownership to change the symptom - the shake disappeared in D and R and remained in P and N. Also invalidated every long term trim value learned around the old valve",[206];[207]
P3E-008,2026-09-05,unknown,"Battery negative terminal disconnected and bridged to the positive post to drain capacitance - a full Keep Alive Memory wipe - performed at the same time as the purge valve change",reset,"Erased learned long term trims (so the post-repair 0 percent readings are defaults, not learned zeros), the load-cell slope, the archived DTCs U0422 / U0140 / B11D8, the monitor results, freeze frame, and Mode 06. Short term trim survives because it does not depend on learning. Also created a two-variable confound with the valve replacement",[216];[217];[218]
P3E-009,2026-09-05,unknown,"Standing rule adopted: never wipe KAM before a measurement unless the wipe is the experiment",measurement_milestone,Recorded in the repo to prevent a repeat,[217];[218]
P3E-010,2026-09-05,unknown,"First Park versus Drive comparison of Engine RPM and Tim. adv. captured in one session, minutes apart",measurement_milestone,"Gave the first clean within-vehicle control: Park 44-55 rpm spans at a 3.4 s rhythm against Drive 13-18 rpm with no rhythm",[219];[220];[221];[222]
P3E-011,2026-09-05,unknown,"Conclusion 'the hunt and the shake are one phenomenon' withdrawn after the owner said the shake moves him in the seat",measurement_milestone,"Reopened engine mounts (the D-versus-R argument only ruled out torque-reaction faults, not a mount that has lost its damping) and raised a contact point against the frame or cab as a new candidate",[224];[225];[226]
P3E-012,2026-09-05,unknown,"The relearning drive: 20-30 minutes mixed driving including steady cruise, deceleration fuel cut coasts on both banks, and wide open throttle pulls to 6832 rpm",drive,"Relearned the adaptives, ran the catalyst and oxygen sensor monitors, and refilled Mode 06. Also produced the fuel cut and WOT eliminations",[232];[233];[237];[238];[240];[241]
P3E-013,2026-09-05,unknown,"Rev limiter reached at 6832 rpm during the WOT pulls",drive,"Offered as the likely explanation for the 2 and 1 raw misfire counts on cylinders 4 and 6 - the limiter cuts fuel and spark, which the misfire monitor can log",[241];[254]
P3E-014,2026-09-05,unknown,"The neutral coast test withdrawn as unworkable on the owner's two objections",measurement_milestone,"Removed the only test designed to separate the vibration source from its transmission path; replaced with the stationary rpm sweep, the electrical load test and the touch test",[243];[244];[245]
P3E-015,2026-09-05,unknown,"RPM sweep in Park performed by feel (650 through 1800 rpm)",measurement_milestone,"Result 'worst idle at 650' argued against the half-order single-weak-cylinder signature and pointed at first order at 10.8 Hz sitting in the 8-15 Hz mount rock band. The follow-up clarification (sharp drop versus gradual taper) was never answered",[246];[247]
P3E-016,2026-09-05,04:28,"Long term trims re-read at warm idle in Park with adaptives fully relearned: -0.78 both banks",measurement_milestone,"Closed the unmetered-air line - PCV, brake booster, manifold gasket, throttle body gasket, injector O-rings and the smoke test all withdrawn. The hunt was unchanged in the same capture, separating the leak from the hunt",[250];[251];[252];[266]
P3E-017,2026-09-05,unknown,"Mode 06 on-board monitoring test results read for the first time on this truck",measurement_milestone,"Closed the ECU phase - per-cylinder misfire, both catalysts, all four O2 sensors, VVT and fuel system monitors all passed with margin. Killed the single-weak-cylinder hypothesis and the bank 1 downstream catalyst asymmetry",[253];[254];[255]
P3E-018,2026-09-05,unknown,"Fuel/Air com. ratio re-captured after the valve change and relearn, confirming the commanded square wave is unchanged (14.42 to 14.86 at about 3.5 s)",measurement_milestone,"Confirmed the PCM deliberately manipulates rpm, and that Mode 06's healthy sensors and catalysts make the slow 3.5 s period the expected behaviour rather than a fault",[256];[258];[259];[260]
P3E-019,2026-09-05,unknown,"First phone accelerometer spectrum recorded with phyphox",measurement_milestone,"Unusable - axis spanned 0-210 Hz and the metadata (rpm, placement, engine state, noise floor) was not recorded. The measurement of the actual complaint remains outstanding",[261];[262];[263];[264]
P3E-020,2026-09-04,unknown,"Prior history restated: an adaptive relearn plus 300 km had already been done before this repair and changed nothing",prior_history,"Used as the argument that the KAM wipe alone cannot explain the D/R improvement, pointing at the valve instead",[217]
P3E-021,2026-09-05,unknown,"Evaporative System monitor still reads Not completed after the drive",measurement_milestone,"The only incomplete monitor; it checks the tank and canister for vapour leaks and sits behind a closed purge valve, so it cannot affect how the engine idles",[266]
