event_id,event_date,phone_clock,event,category,effect_on_data,source
P1E-0001,unknown,unknown,Truck purchased; the idle vibration was already present at purchase and has never been absent.,prior_history,Establishes that no subsequent repair can be the cause of the original symptom.,[9];[19];[36]
P1E-0002,unknown,unknown,Spark plugs replaced.,repair,No change to the symptom.,[19];[36]
P1E-0003,unknown,unknown,Air filter replaced.,repair,No change to the symptom.,[36]
P1E-0004,unknown,unknown,Oil and filter changed (currently 5W-30 in the sump against a 5W-20 spec).,repair,No change to the symptom.,[24];[36]
P1E-0005,unknown,unknown,Coolant flush.,repair,No change to the symptom.,[36]
P1E-0006,unknown,unknown,"6R80 transmission fluid changed at 113,000 km. Whether it was a pan drop or a full exchange was raised as unknown.",repair,No change to the idle symptom; relevant only to the separate torque-converter-shudder question.,[5]
P1E-0007,unknown,unknown,"Throttle body removed from the engine and hand-cleaned, then a 250 km drive-cycle relearn.",repair,"No change at all - assistant treats this as a properly conducted test with a negative result, eliminating the throttle body.",[27];[28]
P1E-0008,unknown,unknown,"Injectors removed, cleaned and flow-tested; the intake manifold came off and went back on for this job.",repair,"No change - injectors eliminated; also mild evidence the fault is not at the manifold face, since the manifold was disturbed and refitted with zero change.",[18];[27];[28]
P1E-0009,unknown,unknown,O2 sensors 'cleaned' by an unknown method.,repair,"No change to the symptom. Leaves an open, unresolved question about whether the sensors were damaged by the cleaning; upstream switching rate never read.",[19];[28]
P1E-0010,unknown,unknown,Battery disconnected once; idle/adaptive relearn performed and roughly 300 km driven afterwards.,reset,"Wiped stored and pending DTCs, so 'no codes ever' rests only on the MIL never lighting. Also makes the adaptives mature at the time of this conversation. Permanent codes (Mode 0A) would have survived and were never read.",[19];[22];[28]
P1E-0011,unknown,unknown,"No dealer service record exists for approximately the last 76,500 km.",prior_history,Maintenance history for that span is owner-reported only.,[22]
P1E-0012,2026-09-02,19:44,"Diagnostic conversation begins. No scan tool has ever been connected; no fuel trims, no live data, no DTC read, no misfire counters exist at this point.",measurement_milestone,Everything in this part of the conversation is reasoning from owner reports and blocked search summaries - there is zero instrument data.,[1];[2];[10]
P1E-0013,2026-09-02,21:56,"CLAUDE.md and docs/f150-diagnosis.md corrected and pushed: throttle-body-never-cleaned claim removed, the EGR-position data request removed (the 3.7 has no external EGR valve), and the torque-converter-damping reasoning replaced with the load table.",measurement_milestone,Three errors that were steering the diagnosis were removed from the project record.,[39];[42]
P1E-0014,2026-09-04,14:41,"f150diag tool built and pushed - generic OBD services 01/03/06/07/09/0A, protocols triage, idle-quality and o2-health, rpm periodicity detection gated at 30 rpm peak-to-peak, and trim-vs-rpm cross-correlation.",measurement_milestone,First capability in the project to log rpm and compute whether the idle wander is scatter or a hunt. DID_REGISTRY ships empty by design.,[50];[57]
P1E-0015,2026-09-04,14:55,"Isolation procedures rewritten around engine off - disconnect - plug the manifold port - restart - settle 30 s - measure, after the owner's hard-plastic-line and stall corrections. Baseline measurement changed to be taken the same way.",measurement_milestone,All four measurements in the vacuum-isolation sequence are now taken under identical conditions; previously the baseline was a long-settled idle and would not have been comparable.,[64];[69]
P1E-0016,2026-09-04,15:15,"FORScan CSV import command added; then the FORScan handoff step (release the port, launch FORScan, watch for the export, import, reconnect) built into the protocol graph.",measurement_milestone,Makes Ford enhanced data (VCT commanded vs actual) reachable as a protocol step. Column mapping is marked [VERIFY] and unconfirmed against this truck.,[73];[80]
P1E-0017,2026-09-04,15:49,"quick-wins protocol added - PCV valve shake test, purge valve vacuum-hold test, and reading the PCM calibration IDs for the dealer question.",measurement_milestone,Ten minutes of engine-off physical checks aimed at the two components never touched in twelve years.,[83];[85]
