reading_id,session_date,phone_clock,graph_clock,capture_type,channel_graph_header,channel_list_label,paired_with,gear,load,thermal,coolant_c,ac,rpm_at_capture,value,value_min,value_max,span,units,reading_method,admissible,epoch,notes,source
PART2-0001,2026-09-04,unknown,unknown,dtc,n/a,DTC - OBD-II + Engine control unit,unknown,n/a,unknown,unknown,unknown,unknown,unknown,U0422,unknown,unknown,unknown,n/a,value_read,yes,pre_purge_valve,Invalid data received from body control module. Archive (inactive).,[102]
PART2-0002,2026-09-04,unknown,unknown,dtc,n/a,DTC - OCS,unknown,n/a,unknown,unknown,unknown,unknown,unknown,U0140,unknown,unknown,unknown,n/a,value_read,yes,pre_purge_valve,No communication with BCM. Archive (inactive).,[102]
PART2-0003,2026-09-04,unknown,unknown,dtc,n/a,DTC - RCM,unknown,n/a,unknown,unknown,unknown,unknown,unknown,B11D8(14),unknown,unknown,unknown,n/a,value_read,yes,pre_purge_valve,Restraints event notification. Archive (inactive). Ford definition of B11D8 and sub-code (14) not verified.,[102]
PART2-0004,2026-09-04,unknown,unknown,dtc,n/a,Powertrain P-codes (complete multi-module scan),unknown,n/a,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,count,value_read,yes,pre_purge_valve,Zero P-codes of any kind on a complete multi-module scan. Confirmed complete scan by owner.,[102];[103]
PART2-0005,2026-09-04,unknown,unknown,value_read,unknown,Short term fuel % trim - Bank 1,unknown,unknown,idle,warm,94,unknown,661,0.78,0.78,3.13,unknown,%,value_read,yes,pre_purge_valve,Assistant quoted STFT bank 1 as '0.78% and 3.13%' from the value list.,[107]
PART2-0006,2026-09-04,unknown,unknown,value_read,unknown,Short term fuel % trim - Bank 2,unknown,unknown,idle,warm,94,unknown,661,0,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,,[107]
PART2-0007,2026-09-04,unknown,unknown,value_read,unknown,Long term fuel % trim - Bank 1,unknown,unknown,idle,warm,94,unknown,661,0.0,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,"Assistant: exactly 0.0% on both banks, more likely un-relearned than learned-and-perfect (101 km / 3 warm-ups since clear).",[107];[140]
PART2-0008,2026-09-04,unknown,unknown,value_read,unknown,Long term fuel % trim - Bank 2,unknown,unknown,idle,warm,94,unknown,661,0.0,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,Same caveat as bank 1 - probably un-relearned.,[107];[140]
PART2-0009,2026-09-04,unknown,unknown,monitor_status,n/a,Misfire monitor,unknown,unknown,idle,warm,94,unknown,661,COMPLETED,unknown,unknown,unknown,n/a,value_read,yes,pre_purge_valve,"Available and COMPLETED, DTC count 0.",[107]
PART2-0010,2026-09-04,unknown,unknown,monitor_status,n/a,Fuel System monitor,unknown,unknown,idle,warm,94,unknown,661,not completed,unknown,unknown,unknown,n/a,value_read,yes,pre_purge_valve,,[107]
PART2-0011,2026-09-04,unknown,unknown,monitor_status,n/a,Catalyst monitor,unknown,unknown,idle,warm,94,unknown,661,not completed,unknown,unknown,unknown,n/a,value_read,yes,pre_purge_valve,Quoted at [165] from the monitor status screen.,[165]
PART2-0012,2026-09-04,unknown,unknown,value_read,unknown,Lambda,unknown,unknown,idle,warm,94,unknown,661,0.99,unknown,unknown,unknown,lambda,value_read,yes,pre_purge_valve,,[107]
PART2-0013,2026-09-04,unknown,unknown,value_read,unknown,Air:fuel ratio,unknown,unknown,idle,warm,94,unknown,661,14.52,unknown,unknown,unknown,AFR,value_read,yes,pre_purge_valve,,[107]
PART2-0014,2026-09-04,unknown,unknown,value_read,unknown,Knock retard,unknown,unknown,idle,warm,94,unknown,661,0,unknown,unknown,unknown,deg,value_read,yes,pre_purge_valve,,[107]
PART2-0015,2026-09-04,unknown,unknown,value_read,unknown,Timing advance,unknown,unknown,idle,warm,94,unknown,661,11.5,unknown,unknown,unknown,deg,value_read,yes,pre_purge_valve,,[107]
PART2-0016,2026-09-04,unknown,unknown,value_read,unknown,Variable camshaft actual advance #1,unknown,unknown,idle,warm,94,unknown,661,rest position,unknown,unknown,unknown,deg,value_read,yes,pre_purge_valve,Assistant wrote 'cam advance at its rest position' with no number quoted in this message.,[107]
