event_id,event_date,phone_clock,event,category,effect_on_data,source
P2E-0001,unknown,unknown,Battery disconnected and DTCs cleared at some earlier date (before this session). Assistant infers the four inactive U/B codes are the signature of that voltage event.,prior_history,"Wiped keep-alive memory, so long term fuel trims and idle adaptives read 0 % and the readiness monitors were incomplete. Only 101 km and 3 warm-ups had accumulated since.",[102];[104];[107];[140]
P2E-0002,unknown,unknown,Owner performed an idle relearn and drove 300 km BEFORE that wipe - the shake did not change.,prior_history,Kills the 'young adaptives are causing the hunt' hypothesis; a reset plus relearn has already been tried and failed.,[142]
P2E-0003,unknown,unknown,"Six earlier repairs (spark plugs, air filter, oil and filter, coolant flush, 6R80 fluid, throttle body removed and hand-cleaned, injectors removed cleaned and flow-tested, O2 sensors 'cleaned' by an unknown method) - none changed the symptom.",prior_history,Establishes the baseline that the symptom is unchanged by any prior work. The O2 'cleaning' by unknown method is the item repeatedly reopened during this session.,[173]
P2E-0004,2026-09-04,unknown,Complete multi-module DTC scan read and photographed.,measurement_milestone,First real vehicle data in the project. Zero P-codes; four inactive network/restraint codes. Corrected the repo's loose claim of 'no codes in years'.,[101];[102];[104]
P2E-0005,2026-09-04,unknown,Full live-data value list captured at warm idle (~11 screenshots).,measurement_milestone,"Produced the first fuel trim, lambda, purge, ethanol, MAF and voltage numbers. Also broke the idle-quality protocol's assumption that sealing the purge port changes nothing on a healthy engine (commanded purge was 41 %).",[105];[107]
P2E-0006,2026-09-04,unknown,First rpm stability graphs captured - later revealed to have been recorded with the A/C ON.,measurement_milestone,Invalidated as a bare-idle baseline. The assistant's attribution of the cycle to fan/purge/alternator was withdrawn once the A/C was disclosed.,[108];[109];[111];[112]
P2E-0007,2026-09-04,unknown,"Graph timebase reinterpreted after the owner said the traces were not 15 minutes long: screen ~15 s, gridlines 5 s.",measurement_milestone,Reversed the 'idle control is working correctly' verdict. The repeating pattern became a 2.5-4 s rhythmic idle hunt - the fourth of four 'no fault' pillars fell.,[115];[116];[117];[118]
P2E-0008,2026-09-04,unknown,Owner confirmed the graph gridlines are 5 seconds.,measurement_milestone,Fixed the timebase for every paired capture that followed.,[125]
P2E-0009,2026-09-04,unknown,Owner instructed that the app's Min/Max/Average fields must not be used - read the plotted curve instead.,measurement_milestone,"All Min/Avg/Max-derived figures became inadmissible. Proof: Min 617 / Max 703 were identical on every screenshot while Avg only crept 652.75 -> 652.66, i.e. session-cumulative.",[135];[136]
P2E-0010,2026-09-04,unknown,"Series of paired graph captures at warm idle: STFT B1, commanded purge, throttle actual, timing advance, cam advance, MAF, commanded throttle actuator, calculated load, lambda/AFR, ECU voltage, commanded fuel/air ratio, O2S2 B1, O2S2 B2, O2S1, O2S5, STFT B2.",measurement_milestone,"The core dataset of this part. Established that every PCM output is static except spark and the commanded fuel/air ratio, and produced the downstream O2 bank asymmetry and the bank 2 trim offset.",[125];[127];[137];[139];[144];[150];[152];[154];[156];[160];[162];[164];[166];[168];[170];[178]
P2E-0011,2026-09-04,unknown,Engine idled continuously for roughly an hour or more during the capture series.,measurement_milestone,"Catalyst temperature fell to 458 C; prolonged idle reduces catalyst oxygen storage, which the assistant flagged as possibly exaggerating the downstream O2 swing. Also raised the possibility the battery was being drained if the alternator was not charging.",[165];[167]
P2E-0012,2026-09-04,unknown,"Multimeter tests (DC charging volts, AC ripple, three ground drops, wiggle test) deferred by the owner to the following day.",measurement_milestone,The 12.62 V ECU voltage reading remained unexplained at the end of this part.,[162];[163];[167]
P2E-0013,2026-09-04,unknown,Graph axis width settled beyond doubt by two independent clocks: graph clock 21:20-23:55 against phone clock 12:48-12:51.,measurement_milestone,"Confirms MM:SS axis, 5 s gridlines, ~15 s screen. Retires the timebase question for all earlier captures.",[179]
P2E-0014,2026-09-04,unknown,"Repo housekeeping: feature branch claude/ready-girabz merged to main, local branch deleted, remote deletion blocked by HTTP 403.",measurement_milestone,No effect on vehicle data. Recorded because it explains why files moved between branches mid-session.,[92];[95];[97];[99];[100]
